id,distractor,subject,verb,interference,grammaticality,sentence,crit,target,attractor
1,sing,sing,sing,int,gram,The runner who the driver sees during the commute every morning always waves to say hi.,sees,driver,runner
1,pl,sing,sing,unint,gram,The runners who the driver sees during the commute every morning always wave to say hi.,sees,driver,runners
1,sing,sing,pl,unint,ungram,The runner who the driver see during the commute every morning always waves to say hi.,see,driver,runner
1,pl,sing,pl,int,ungram,The runners who the driver see during the commute every morning always wave to say hi.,see,driver,runners
1,sing,pl,pl,unint,gram,The runner who the drivers see during the commute every morning always waves to say hi. ,see,drivers,runner
1,pl,pl,pl,int,gram,The runners who the drivers see during the commute every morning always wave to say hi.,see,drivers,runners
1,sing,pl,sing,int,ungram,The runner who the drivers sees during the commute every morning always waves to say hi.,sees,drivers,runner
1,pl,pl,sing,unint,ungram,The runners who the drivers sees during the commute every morning always wave to say hi.,sees,drivers,runners
2,sing,sing,sing,int,gram,The industrialist who the activist criticizes always puts profit above concerns for the environment.,criticizes,activist,industrialist
2,pl,sing,sing,unint,gram,The industrialists who the activist criticizes always puts profit above concerns for the environment.,criticizes,activist,industrialists
2,sing,sing,pl,unint,ungram,The industrialist who the activist criticize always puts profit above concerns for the environment.,criticize,activist,industrialist
2,pl,sing,pl,int,ungram,The industrialists who the activist criticize always puts profit above concern for the environment.,criticize,activist,industrialists
2,sing,pl,pl,unint,gram,The industrialist who the activists criticize always puts profit above concerns for the environment.,criticize,activists,industrialist
2,pl,pl,pl,int,gram,The industrialists who the activists criticize always puts profit above concern for the environment.,criticize,activists,industrialists
2,sing,pl,sing,int,ungram,The industrialist who the activists criticizes always puts profit above concerns for the environment.,criticizes,activists,industrialist
2,pl,pl,sing,unint,ungram,The industrialists who the activists criticizes always puts profit above concern for the environment.,criticizes,activists,industrialists
3,sing,sing,sing,int,gram,The player who the coach likes the best is the one who always gets to practice on time.,likes,coach,player
3,pl,sing,sing,unint,gram,The players who the coach likes the best are the ones who always gets to practice on time.,likes,coach,players
3,sing,sing,pl,unint,ungram,The player who the coach like the best is the one who always gets to practice on time.,like,coach,player
3,pl,sing,pl,int,ungram,The players who the coach like the best are the ones who always gets to practice on time.,like,coach,players
3,sing,pl,pl,unint,gram,The player who the coaches like the best is the one who always gets to practice on time.,like,coaches,player
3,pl,pl,pl,int,gram,The players who the coaches like the best are the ones who always gets to practice on time.,like,coaches,players
3,sing,pl,sing,int,ungram,The player who the coaches likes the best is the one who always gets to practice on time.,likes,coaches,player
3,pl,pl,sing,unint,ungram,The players who the coaches likes the best are the ones who always gets to practice on time.,likes,coaches,players
4,sing,sing,sing,int,gram,The volunteer who the director relies on completely is dedicated to her work.,relies,director,volunteer
4,pl,sing,sing,unint,gram,The volunteers who the director relies on completely are dedicated to her work.,relies,director,volunteers
4,sing,sing,pl,unint,ungram,The volunteer who the director rely on completely is dedicated to her work.,rely,director,volunteer
4,pl,sing,pl,int,ungram,The volunteers who the director rely on completely are dedicated to her work.,rely,director,volunteers
4,sing,pl,pl,unint,gram,The volunteer who the directors rely on completely is dedicated to her work.,rely,directors,volunteer
4,pl,pl,pl,int,gram,The volunteers who the directors rely on completely are dedicated to her work.,rely,directors,volunteers
4,sing,pl,sing,int,ungram,The volunteer who the directors relies on completely is dedicated to her work.,relies,directors,volunteer
4,pl,pl,sing,unint,ungram,The volunteers who the directors relies on completely are dedicated to her work.,relies,directors,volunteers
5,sing,sing,sing,int,gram,The author who the librarian recommends for summer reading is very popular in India.,recommends,librarian,author
5,pl,sing,sing,unint,gram,The authors who the librarian recommends for summer reading are very popular in India.,recommends,librarian,authors
5,sing,sing,pl,unint,ungram,The author who the librarian recommend for summer reading is very popular in India.,recommend,librarian,author
5,pl,sing,pl,int,ungram,The authors who the librarian recommend for summer reading are very popular in India.,recommend,librarian,authors
5,sing,pl,pl,unint,gram,The author who the librarians recommend for summer reading is very popular in India.,recommend,librarians,author
