id,distractor,subject,grammaticality,interference,sentence,crit,target,attractor
1,sing,sing,gram,int,The tall nurse who cared for the elderly widow definitely pricked herself with a used syringe.,herself,nurse,widow
1,pl,sing,gram,unint,The tall nurse who cared for the elderly widows definitely pricked herself with a used syringe.,herself,nurse,widows
1,sing,sing,ungram,unint,The tall nurse who cared for the elderly widow definitely pricked themselves with a used syringe.,themselves,nurse,widow
1,pl,sing,ungram,int,The tall nurse who cared for the elderly widows definitely pricked themselves with a used syringe.,themselves,nurse,widows
1,sing,pl,ungram,int,The tall nurses who cared for the elderly widow definitely pricked herself with a used syringe.,herself,nurses,widow
1,pl,pl,ungram,unint,The tall nurses who cared for the elderly widows definitely pricked herself with a used syringe.,herself,nurses,widows
1,sing,pl,gram,unint,The tall nurses who cared for the elderly widow definitely pricked themselves with a used syringe.,themselves,nurses,widow
1,pl,pl,gram,int,The tall nurses who cared for the elderly widows definitely pricked themselves with a used syringe.,themselves,nurses,widows
2,sing,sing,gram,int,The legendary diva who sang with the graceful harpist clearly presented herself with lots of fanfare.,herself,diva,harpist
2,pl,sing,gram,unint,The legendary diva who sang with the graceful harpists clearly presented herself with lots of fanfare.,herself,diva,hapists
2,sing,sing,ungram,unint,The legendary diva who sang with the graceful harpist clearly presented themselves with lots of fanfare.,themselves,diva,harpist
2,pl,sing,ungram,int,The legendary diva who sang with the graceful harpists clearly presented themselves with lots of fanfare.,themselves,diva,hapists
2,sing,pl,ungram,int,The legendary divas who sang with graceful harpist clearly presented herself with lots of fanfare.,herself,divas,harpist
2,pl,pl,ungram,unint,The legendary divas who sang with graceful harpists clearly presented herself with lots of fanfare.,herself,divas,hapists
2,sing,pl,gram,unint,The legendary divas who sang with graceful harpist clearly presented themselves with lots of fanfare.,themselves,divas,harpist
2,pl,pl,gram,int,The legendary divas who sang with graceful harpists clearly presented themselves with lots of fanfare.,themselves,divas,hapists
3,sing,sing,gram,int,The nice beautician who advised the beauty queen probably dabbed herself with imported French perfume.,herself,beautician,queen
3,pl,sing,gram,unint,The nice beautician who advised the beauty queens probably dabbed herself with imported French perfume.,herself,beautician,queens
3,sing,sing,ungram,unint,The nice beautician who advised the beauty queen probably dabbed themselves with imported French perfume.,themselves,beautician,queen
3,pl,sing,ungram,int,The nice beautician who advised the beauty queens probably dabbed themselves with imported French perfume.,themselves,beautician,queens
3,sing,pl,ungram,int,The nice beauticians who advised the beauty queen probably dabbed herself with imported French perfume.,herself,beauticians,queen
3,pl,pl,ungram,unint,The nice beauticians who advised the beauty queens probably dabbed herself with imported French perfume.,herself,beauticians,queens
3,sing,pl,gram,unint,The nice beauticians who advised the beauty queen probably dabbed themselves with imported French perfume.,themselves,beauticians,queen
3,pl,pl,gram,int,The nice beauticians who advised the beauty queens probably dabbed themselves with imported French perfume.,themselves,beauticians,queens
4,sing,sing,gram,int,The talented hairdresser who worked with the friendly manicurist obviously cut herself with some rusty scissors.,herself,hairdresser,manicurist
4,pl,sing,gram,unint,The talented hairdresser who worked with the friendly manicurists obviously cut herself with some rusty scissors.,herself,hairdresser,manicurists
4,sing,sing,ungram,unint,The talented hairdresser who worked with the friendly manicurist obviously cut themselves with some rusty scissors.,themselves,hairdresser,manicurist
4,pl,sing,ungram,int,The talented hairdresser who worked with the friendly manicurists obviously cut themselves with some rusty scissors.,themselves,hairdresser,manicurists
4,sing,pl,ungram,int,The talented hairdressers who worked with the friendly manicurist obviously cut herself with some rusty scissors.,herself,hairdressers,manicurist
4,pl,pl,ungram,unint,The talented hairdressers who worked with the friendly manicurists obviously cut herself with some rusty scissors.,herself,hairdressers,manicurists
4,sing,pl,gram,unint,The talented hairdressers who worked with the friendly manicurist obviously cut themselves with some rusty scissors.,themselves,hairdressers,manicurist
4,pl,pl,gram,int,The talented hairdressers who worked with the friendly manicurists obviously cut themselves with some rusty scissors.,themselves,hairdressers,manicurists
5,sing,sing,gram,int,The artsy florist who helped the elegant designer unfortunately nicked herself on a rose thorn.,herself,florist,designer
5,pl,sing,gram,unint,The artsy florist who helped the elegant designers unfortunately nicked herself on a rose thorn.,herself,florist,designers
5,sing,sing,ungram,unint,The artsy florist who helped the elegant designer unfortunately nicked themselves on a rose thorn.,themselves,florist,designer
5,pl,sing,ungram,int,The artsy florist who helped the elegant designers unfortunately nicked themselves on a rose thorn.,themselves,florist,designers
5,sing,pl,ungram,int,The artsy florists who helped the elegant designer unfortunately nicked herself on a rose thorn.,herself,florists,designer
5,pl,pl,ungram,unint,The artsy florists who helped the elegant designers unfortunately nicked herself on a rose thorn.,herself,florists,designers
5,sing,pl,gram,unint,The artsy florists who helped the elegant designer unfortunately nicked themselves on a rose thorn.,themselves,florists,designer
5,pl,pl,gram,int,The artsy florists who helped the elegant designers unfortunately nicked themselves on a rose thorn.,themselves,florists,designers
6,sing,sing,gram,int,The nimble gymnast who studied with the female coach certainly bruised herself on the uneven bars.,herself,gymnast,coach
6,pl,sing,gram,unint,The nimble gymnast who studied with the female coaches certainly bruised herself on the uneven bars.,herself,gymnast,coaches
6,sing,sing,ungram,unint,The nimble gymnast who studied with the female coach certainly bruised themselves on the uneven bars.,themselves,gymnast,coach
6,pl,sing,ungram,int,The nimble gymnast who studied with the female coaches certainly bruised themselves on the uneven bars.,themselves,gymnast,coaches
6,sing,pl,ungram,int,The nimble gymnasts who studied with the female coach certainly bruised herself on the uneven bars.,herself,gymnasts,coach
6,pl,pl,ungram,unint,The nimble gymnasts who studied with the female coaches certainly bruised herself on the uneven bars.,herself,gymnasts,coaches
6,sing,pl,gram,unint,The nimble gymnasts who studied with the female coach certainly bruised themselves on the uneven bars.,themselves,gymnasts,coach
6,pl,pl,gram,int,The nimble gymnasts who studied with the female coaches certainly bruised themselves on the uneven bars.,themselves,gymnasts,coaches
7,sing,sing,gram,int,The midwife who attended to the expectant mother probably supported herself with private childbirth consultations.,herself,midwife,mother
7,pl,sing,gram,unint,The midwife who attended to the expectant mothers probably supported herself with private childbirth consultations.,herself,midwife,mothers
7,sing,sing,ungram,unint,The midwife who attended to the expectant mother probably supported themselves with private childbirth consultations.,themselves,midwife,mother
