,attn_to_target,crit,distractor,entropy,grammaticality,id,interference,sentence,subject,surprisal,verb
0,0.26593247056007385,was,pl,1.3745273567357652,gram,1.0,unint,The tall nurse who cared for the elderly widows definitely was reluctant to work long shifts.,sing,4.920628547668457,sing
1,0.1156635731458664,were,pl,1.7297327209662203,ungram,1.0,int,The tall nurse who cared for the elderly widows definitely were reluctant to work long shifts.,sing,11.318625450134277,sing
2,0.30702635645866394,was,sing,1.4955126814519817,gram,1.0,int,The tall nurse who cared for the elderly widow definitely was reluctant to work long shifts.,sing,4.867342948913574,sing
3,0.11835040152072906,were,sing,1.6314355243374312,ungram,1.0,unint,The tall nurse who cared for the elderly widow definitely were reluctant to work long shifts.,sing,12.384432792663574,sing
4,,was,pl,1.1961462469323918,gram,2.0,unint,The legendary diva who sang with the graceful harpists clearly was flawless on the high notes.,sing,6.15875768661499,sing
5,,were,pl,1.6315137989866457,ungram,2.0,int,The legendary diva who sang with the graceful harpists clearly were flawless on the high notes.,sing,13.006187438964844,sing
6,,was,sing,1.2750946198389623,gram,2.0,int,The legendary diva who sang with the graceful harpist clearly was flawless on the high notes.,sing,6.1615800857543945,sing
7,,were,sing,1.4632494589055314,ungram,2.0,unint,The legendary diva who sang with the graceful harpist clearly were flawless on the high notes.,sing,14.209762573242188,sing
8,,was,pl,1.2932223110545213,gram,3.0,unint,The nice beautician who advised the beauty queens probably was happy about having more business.,sing,5.418099403381348,sing
9,,were,pl,2.690245112904323,ungram,3.0,int,The nice beautician who advised the beauty queens probably were happy about having more business.,sing,11.775128364562988,sing
10,,was,sing,1.642380819883153,gram,3.0,int,The nice beautician who advised the beauty queen probably was happy about having more business.,sing,5.463623523712158,sing
11,,were,sing,2.2615907615505475,ungram,3.0,unint,The nice beautician who advised the beauty queen probably were happy about having more business.,sing,12.28580379486084,sing
12,,was,pl,1.5170471562764642,gram,4.0,unint,The talented hairdresser who worked with the friendly manicurists obviously was popular with the regular customers.,sing,5.796072483062744,sing
13,,were,pl,1.816913385629163,ungram,4.0,int,The talented hairdresser who worked with the friendly manicurists obviously were popular with the regular customers.,sing,12.239087104797363,sing
14,,was,sing,1.6480041495631306,gram,4.0,int,The talented hairdresser who worked with the friendly manicurist obviously was popular with the regular customers.,sing,5.869318008422852,sing
15,,were,sing,1.6506114605288362,ungram,4.0,unint,The talented hairdresser who worked with the friendly manicurist obviously were popular with the regular customers.,sing,13.146720886230469,sing
16,,was,pl,1.2644111333237946,gram,5.0,unint,The artsy florist who helped the elegant designers unfortunately was distraught over an upcoming funeral.,sing,7.270394325256348,sing
17,,were,pl,2.531365539166459,ungram,5.0,int,The artsy florist who helped the elegant designers unfortunately were distraught over an upcoming funeral.,sing,9.05861759185791,sing
18,,was,sing,1.4360732491861397,gram,5.0,int,The artsy florist who helped the elegant designer unfortunately was distraught over an upcoming funeral.,sing,7.324866771697998,sing
19,,were,sing,2.1973195333095896,ungram,5.0,unint,The artsy florist who helped the elegant designer unfortunately were distraught over an upcoming funeral.,sing,10.72841739654541,sing
